Qualifications,Employment_Type,Age,City,State,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
GRAD,SAL,54,Balmatta,KA,575002,Male,SC,84226,66.47,O,45000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,39,Hebri,KA,576112,Female,SC,87589,83.98,O,25000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SEP,32,Barang,OR,754005,Female,EB,139000,94.24,O,30000,07 Rural,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,26,Bhajan Pura,DL,110053,Male,SC,79473,85,O,35000,04 Metro,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
UG,AGR,26,Konidela,AP,518411,Female,SC,98893,86.75,O,45000,07 Rural,JUPITER,JUPITER ZX BSVI – ZX DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,21,Mahgama,JH,814154,Female,SC,95084,82.32,O,28000,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,21,Jealgora,JH,828110,Male,MC,83000,55.28,O,45000,05 Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
PG,SAL,21,Dongargaon,MP,453441,Male,MC,144860,78.22,O,45000,06 Semi-Urban,RONIN,TVS RONIN 1CH BASE BSVI,RONIN,PAST_LOANS_ACTIVE,APPROVED
GRAD,SEP,22,Rehala,JH,822124,Male,SC,95346,78.24,O,32000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,SEP,51,Noamundi Bazar,JH,833218,Female,SC,93000,84.57,O,25000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
PG,SEP,44,Roing,AR,792110,Female,SC,107082,84.97,O,40000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,NO_PAST_LOANS,APPROVED
SSC,AGR,59,Thachampattu,TN,606811,Male,MO,68409,87.71,O,30000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,21,Ndwa,MP,457888,Male,MC,119298,77.29,O,25500,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
HSC,SAL,48,Bisalpur,UP,262201,Male,MO,46759,85.95,O,34700,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
UG,AGR,27,Khandwa,MP,450001,Male,MC,126389,76.2,O,25000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,41,Sarwan,JH,814150,Male,MC,82500,72.37,O,18000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,52,Chakulia,JH,832301,Male,MO,55119,77.03,O,29000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
HSC,SEP,38,Kolar,KA,563101,Female,SC,104119,83.36,O,56000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,NO_PAST_LOANS,APPROVED
GRAD,NREGI,38,Jamtara Court,JH,815351,Male,MC,130112,86.18,O,39000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
UG,SEP,37,Kodala,OR,761032,Male,MC,85000,69.79,O,40000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SAL,28,Palmar,JK,182205,Male,MC,98216,77.92,O,25000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SEP,38,Puri,OR,752001,Male,SC,90262,86.79,O,38000,05 Urban,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,27,Bagepalli,KA,561207,Female,SC,103254,82.54,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
GRAD,SEP,28,Khunti,JH,835210,Male,MC,136900,76.35,O,30000,07 Rural,RONIN,TVS RONIN 1CH BASE BSVI,RONIN,NO_PAST_LOANS,APPROVED
SSC,AGR,38,Hagare,KA,573216,Female,SC,96151,92.19,O,40000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,41,Kudlu,KL,671124,Male,SC,82715,74.39,O,20000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,28,Panna,MP,488058,Male,SC,61500,62.94,O,22000,06 Semi-Urban,JUPITER,JUPITER BSVI - SMW,110 CC,NO_PAST_LOANS,APPROVED
HSC,SAL,40,Nagda Town,MP,456335,Male,MC,52169,65.42,O,20000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,26,Taranagar Bazar,RJ,331304,Male,MC,98500,79.06,O,40000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,21,Kodihalli,KA,562119,Male,MO,54395,81.01,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
PG,SEP,37,Roing,AR,792110,Male,SC,75524,68.92,O,40000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,35,Melur ,KA,562102,Female,MO,60296,89.99,O,45000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
HSC,SEP,34,Benipatti,BR,847223,Male,MC,110820,73.15,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,30,Baor,PY,607402,Male,SC,31069,30.84,O,26000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,35,Skote,KA,562114,Male,SC,84710,82.2,O,25000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,30,Bannerghatta Road,KA,560076,Male,SC,90930,85.2,R,40000,02 Megapolis (B),JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,54,Chumukedima,NG,797103,Male,MO,62087,77.06,O,50000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
PG,SAL,21,Guhiajori,JH,814158,Male,MC,126200,83.59,O,26000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
SSC,SAL,21,Mangalore,KA,575027,Male,SC,113999,91.13,O,45000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,51,Chandkhira,AS,788725,Male,MO,77668,95.24,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
UG,AGR,22,Kattemalalavadi,KA,571134,Female,SC,44821,42.97,O,65000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,22,Ctkalia,WB,742213,Male,SC,74600,62.15,O,26500,07 Rural,JUPITER,TVS JUPITER CLASSIC DISC BSVI,110 CC,NO_PAST_LOANS,APPROVED
UG,SAL,38,Bangalore South ,KA,560068,Female,SC,89678,83.93,O,38000,02 Megapolis (B),JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
GRAD,SAL,22,Attibele,KA,562107,Female,SC,112704,89.98,O,35000,02 Megapolis (B),NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,AGR,46,Hagare,KA,573216,Male,MO,64661,82.9,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,64,Belakavadi,KA,571417,Male,SC,116300,91.78,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
GRAD,SEP,45,Crpf Campus Yelahanka,KA,560064,Male,SC,92502,89.81,O,45000,02 Megapolis (B),JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,32,Malur Railway Station,KA,563160,Female,SC,101726,86.14,O,23000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,35,Kadugodi,KA,560067,Male,SC,91477,78.13,O,99000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,21,Srirangapatna,KA,571438,Male,MC,113256,89.6,O,35000,05 Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,24,Pripainti,BR,813209,Male,MC,125918,78.11,O,30000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
GRAD,SEP,42,Jalori Gate,RJ,342003,Male,MC,62227,53.4,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,43,Devanahalli,KA,562110,Male,SC,111728,90.32,O,30000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
PG,SEP,31,Dhanbad,JH,826001,Male,MC,126999,84.12,O,55000,04 Metro,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,39,Kolar,KA,563101,Female,SC,111154,88.99,O,56000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,22,Avantika,DL,110085,Female,SC,96000,83.04,O,29000,01 Megapolis (A),JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,DECLINED
HSC,NREGI,34,Isro Anthariksha Bhavan,KA,560094,Female,SC,99738,79.47,R,25000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,30,Deepanjalinagar,KA,560026,Female,SC,93788,84.77,R,50000,02 Megapolis (B),JUPITER,JUPITER 125 DRUM BSVI - SMW,125 CC DRUM,NO_PAST_LOANS,APPROVED
GRAD,SAL,31,Bisauli,UP,202520,Male,MC,125900,77.34,O,36000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,21,Khambhalia,GJ,361305,Male,MO,62800,84.57,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,41,Chirkunda,JH,828202,Male,MO,18500,34.11,O,35000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,41,Sayla ,RJ,343022,Male,MC,70244,92.85,O,40000,06 Semi-Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
GRAD,SAL,22,Sulebele,KA,562129,Male,SC,98318,80,O,35000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
SSC,SEP,39,Lepakshi,AP,515331,Male,MO,46700,55.47,O,36000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
HSC,SEP,36,Sanwer,MP,453551,Male,EB,110921,67.22,O,36000,06 Semi-Urban,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,34,Bhanpura,MP,458775,Male,MC,67230,85.1,O,45000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
SSC,SAL,47,Takula,UC,263628,Male,SC,101527,86.78,O,35000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,27,Nawgawan,UP,244251,Male,MC,64103,84.95,O,60000,06 Semi-Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
HSC,AGR,33,Salagame,KA,573219,Male,MC,94312,74.94,O,29000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,44,Navelim,GO,403707,Male,SC,85009,86.17,O,20000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,23,Balumath,JH,829202,Male,MC,90524,80.14,O,26000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SAL,51,Coromandel,KA,563118,Male,SC,75953,70.59,R,28000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,33,Godda,JH,814133,Female,MC,74595,65.43,O,25000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SAL,21,Talakad,KA,571122,Male,MC,104185,82.39,O,32500,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,24,Baharagora,JH,832101,Male,MC,54576,48.26,O,30000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,NREGI,44,R T Nagar,KA,560032,Male,SC,110500,88.87,O,100000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,NO_PAST_LOANS,APPROVED
GRAD,SEP,58,Yavatmal,MH,445001,Male,SC,99978,85.89,O,45000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,21,Kanekal,AP,515871,Male,MC,61398,65.39,O,32000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
PG,SEP,43,Punganur,AP,517247,Male,EB,135361,81.54,O,80000,07 Rural,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,31,Hallymyre,KA,573210,Male,MC,83204,86.49,O,30000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
UG,SEP,32,Sadri,RJ,306702,Male,SC,83689,82.38,O,45000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,45,Ludhiana,PB,141001,Male,SC,87063,92,R,25000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,APPROVED
HSC,SEP,47,Shahnagar,MP,488448,Male,MC,70886,76.14,O,30000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
HSC,SEP,42,Kesharia,BR,845424,Male,MC,127172,84.22,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
PG,SEP,30,Sinnar,MH,422103,Male,MC,96000,78.64,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,45,Peddapuram,AP,533437,Female,SC,67500,61.36,O,35000,07 Rural,JUPITER,JUPITER ZX BSVI – ZX DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,24,Bareilly City,UP,243003,Female,MC,94741,81.53,O,30000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SAL,34,Dr. Shivarama Karanth Nagar,KA,560077,Female,SC,103237,89.94,L,21000,02 Megapolis (B),JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,DECLINED
GRAD,SAL,26,Garhwa,JH,822114,Male,MC,77668,68.03,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
SSC,SEP,49,Bishungarh Hazaribag,JH,825312,Male,MC,98399,81.96,O,32000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,AGR,33,Karmatar,JH,815352,Female,MC,120500,79.81,O,31000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,NREGI,23,Merta Road,RJ,341511,Male,MC,56106,67.19,O,25000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,APPROVED
GRAD,SEP,33,Jodhpur,RJ,342001,Male,MC,77255,91,O,50000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,DECLINED
PG,SAL,58,Jabalpur,MP,482001,Female,SC,84948,84.02,O,50000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,23,Kuchinda,OR,768222,Male,MC,138893,86.11,O,25000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
HSC,SEP,46,Morar,MP,474006,Male,EB,113500,68.79,O,41000,06 Semi-Urban,TVS,TVS IQUBE UG,EBIKE,NO_PAST_LOANS,APPROVED
GRAD,SAL,25,Visnagar Market Yard,GJ,384315,Female,SC,73409,76.32,O,28000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,30,Begun,RJ,312023,Male,MC,58129,77.51,O,45000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
PG,SEP,23,Andernpet,KA,563113,Male,SC,96759,78.22,O,35000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
UG,SAL,21,Pulivendla,AP,516390,Female,SC,88157,88.69,O,25000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
UG,SEP,33,Aonla,UP,243301,Female,MC,56531,73.99,O,25500,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
OTHERS,AGR,27,Are,RJ,307029,Male,MO,57628,77.28,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
HSC,SEP,39,Sayla ,RJ,343022,Male,SC,86500,89.48,O,50000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,24,Merta Road,RJ,341511,Male,MC,108722,85.89,O,35000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,DECLINED
GRAD,SAL,32,Perur Coimbatore,TN,641010,Male,EB,129745,85.42,O,41800,06 Semi-Urban,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
SSC,NREGI,19,Barua,WB,742189,Male,MC,97166,73.43,O,25000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
SSC,SEP,34,Panjipara,WB,733208,Male,MC,115398,92.94,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SEP,28,Sirohi,RJ,307001,Male,MO,71156,90.99,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,53,Rohtak,HA,124001,Male,MC,94026,80.53,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,41,Jhabua,MP,457661,Male,MC,116082,76.92,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
HSC,NREGI,41,Chhatarpur,JH,822113,Female,MC,83500,53.99,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,41,Golconda,AP,500008,Male,SC,32000,25,O,150000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,37,Koteshwara,KA,576222,Male,MO,59215,87.21,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,22,Bijni,AS,783390,Male,SC,90000,76.27,O,30000,07 Rural,JUPITER,TVS JUPITER CLASSIC DISC BSVI,110 CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,47,Sahibganj College,JH,816109,Male,MC,96097,84.22,O,27000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,52,Kiragavalu,KA,571424,Male,MO,56100,81.96,O,25000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
SSC,SAL,22,Mundkur,KA,576121,Female,SC,90229,86.51,O,30000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,40,Channarayapatna,KA,573116,Male,MC,35826,36.04,O,35000,07 Rural,CITY PLUS,STARCITY PLUS ES DT BSVI – DUAL TONE,STAR CITY PLUS,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,57,Santhebachahalli,KA,571436,Male,MO,59765,87.31,O,34000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,38,Jamtara Court,JH,815351,Female,MC,76500,67,O,46000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,AGR,47,Mosale Sahalli,KA,573212,Male,SC,89889,87.64,O,29000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,DECLINED
HSC,AGR,45,Shravanabelagola,KA,573135,Male,MC,87830,83.33,O,35000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,49,Chandwa,JH,829203,Male,MC,128082,84.83,O,28000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,23,Kundalahalli,KA,560037,Male,SC,96260,83.02,R,25000,02 Megapolis (B),JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,21,Manawar,MP,454446,Female,SC,85751,84.04,O,38000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,30,Sugganahalli,KA,562128,Female,SC,104123,87.9,O,45000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
GRAD,SAL,37,Kengeri,KA,560060,Female,SC,88743,95.12,O,39000,02 Megapolis (B),ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,55,Panemangalore,KA,574231,Male,SC,109085,91.09,O,30000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,43,Kollegal,KA,571440,Male,SC,95863,81.41,O,50000,07 Rural,JUPITER,TVS JUPITER CLASSIC DISC BSVI,110 CC,NO_PAST_LOANS,APPROVED
PG,SAL,45,C V Raman Nagar,KA,560093,Female,SC,77210,66.58,O,40000,02 Megapolis (B),JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,26,Kav,KA,574223,Male,SC,107740,85,O,35000,05 Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,48,Meerut Cantt,UP,250001,Male,SC,65848,55.57,O,30000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,27,Shiyani,GJ,363427,Male,MC,89194,77.14,O,17000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,57,Kharupetiaghat,AS,784115,Male,MC,107157,83.39,O,79000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SAL,27,Satbarwa,JH,822126,Male,MC,102853,90.09,O,25000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
SSC,SEP,50,Jori,JH,825403,Male,MO,61160,84.94,O,26000,07 Rural,MOPEDS,TVS XL 100 COM ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,37,Koppa Mandya,KA,571425,Male,MC,129032,89.96,O,28000,06 Semi-Urban,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,25,Topchanchi,JH,828402,Male,MC,127807,84.65,O,28000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
HSC,SEP,47,Budaun,UP,243601,Male,MC,95991,80.15,O,35000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
